ntdid,year,mode,fares
0R04,2015,DT,NA
0R04,2015,FB,2570696
0R04,2015,MB,NA
0T03,2015,DR,0
0T03,2015,MB,0
0T04,2015,FB,NA
0T04,2015,MB,NA
0T06,2015,CB,NA
0T06,2015,DT,0
0T06,2015,MB,NA
0T07,2015,DR,0
0T08,2015,DR,NA
0T08,2015,MB,NA
0T09,2015,DR,NA
0T09,2015,MB,NA
0T10,2015,CB,NA
0T10,2015,DR,NA
0T11,2015,MB,NA
0T12,2015,DR,7192
0T12,2015,MB,18803
0T14,2015,MB,36703
0T15,2015,DR,NA
0T16,2015,MB,NA
0T17,2015,DR,0
0T17,2015,VP,11385
0T18,2015,MB,NA
0T19,2015,MB,NA
0T20,2015,MB,NA
0T21,2015,MB,NA
0T23,2015,FB,NA
0T24,2015,DR,0
0T24,2015,MB,0
0T24,2015,VP,4435
0T29,2015,DR,NA
0T30,2015,DR,NA
0T31,2015,MB,14299
0T32,2015,DR,0
0T32,2015,MB,0
0T33,2015,MB,7636
0T34,2015,DR,NA
0T36,2015,MB,NA
0T40,2015,DR,NA
1001,2006,DR,573197
1001,2006,MB,21374315
1001,2007,DR,629017
1001,2007,MB,22421422
1001,2008,DR,638209
1001,2008,MB,23480485
1001,2009,DR,720899
1001,2009,MB,24044176
1001,2010,DR,625649
1001,2010,DT,58548
1001,2010,MB,18048941
1001,2011,DR,656103
1001,2011,DT,78531
1001,2011,MB,19778407
1001,2012,DR,741325
1001,2012,DT,91592
1001,2012,MB,21147737
1001,2013,DR,831560
1001,2013,DT,85234
1001,2013,MB,21547853
1001,2014,DR,786143
1001,2014,DT,104022
1001,2014,MB,21779974
1001,2015,DR,823662
1001,2015,DT,51626
1001,2015,MB,19076441
1002,2006,DR,20113
1002,2006,MB,312072
1002,2007,DR,22632
1002,2007,MB,346149
1002,2008,DR,23214
1002,2008,MB,361027
1002,2009,DR,29013
1002,2009,MB,486181
1002,2010,DR,40185
1002,2010,MB,524925
1002,2011,DR,41955
1002,2011,MB,542229
1002,2012,DR,34938
1002,2012,MB,565564
