"","GEOID.msa","name","year","mode","total_expenses","revenue_miles","revenue_hours","upt","fares","average_speed","avg_fare","farebox_recovery"
"5775","39300","Providence-Warwick, RI-MA",2006,"DR",19420851,5454080,425711,957458,997078,12.8117,1.04138,0.05134059
"5776","39300","Providence-Warwick, RI-MA",2006,"MB",84363757,10474255,787668,21627157,24134055,13.2978,1.115914,0.2860714
"5777","39300","Providence-Warwick, RI-MA",2007,"DR",21124712,5565385,440281,970210,1162267,12.64053,1.197954,0.05501931
"5778","39300","Providence-Warwick, RI-MA",2007,"MB",89124212,10803680,789087,22916456,25605671,13.69137,1.117349,0.2873032
"5779","39300","Providence-Warwick, RI-MA",2008,"DR",33343034,5744242,443721,948824,1369094,12.94562,1.442938,0.04106087
"5780","39300","Providence-Warwick, RI-MA",2008,"MB",95581577,11139307,817928,23419108,26535004,13.61893,1.133049,0.2776163
"5781","39300","Providence-Warwick, RI-MA",2009,"DR",32461266,5732174,435176,887500,1516194,13.17208,1.708388,0.04670779
"5782","39300","Providence-Warwick, RI-MA",2009,"MB",97414675,11071262,804527,22188279,26993992,13.76121,1.216588,0.277104
"5783","39300","Providence-Warwick, RI-MA",2010,"DR",30202558,5221749,410602,815358,1021947,12.7173,1.253372,0.03383644
"5784","39300","Providence-Warwick, RI-MA",2010,"DT",4424111,763244,58711,114232,58548,13.00002,0.5125359,0.01323385
"5785","39300","Providence-Warwick, RI-MA",2010,"MB",96954567,11309169,811185,22094748,21078769,13.94154,0.9540172,0.2174087
"5786","39300","Providence-Warwick, RI-MA",2011,"CB",743706,335266,8975,103219,743706,37.35554,7.205127,1
"5787","39300","Providence-Warwick, RI-MA",2011,"DR",29131838,4966433,384583,778169,1103345,12.91381,1.417873,0.0378742
"5788","39300","Providence-Warwick, RI-MA",2011,"DT",5352709,1020252,78481,133058,78531,12.99999,0.5902013,0.01467126
"5789","39300","Providence-Warwick, RI-MA",2011,"MB",107314331,11125497,809238,21880747,22145606,13.74811,1.012105,0.2063621
"5790","39300","Providence-Warwick, RI-MA",2012,"CB",1503020,307868,9373,97450,748510,32.84626,7.680965,0.498004
"5791","39300","Providence-Warwick, RI-MA",2012,"DR",42838236,5342785,389467,836774,1061458,13.7182,1.268512,0.02477828
"5792","39300","Providence-Warwick, RI-MA",2012,"DT",8491538,1161987,58373,146028,91592,19.90624,0.6272222,0.01078627
"5793","39300","Providence-Warwick, RI-MA",2012,"MB",219215780,11289929,824109,22475218,23862668,13.69956,1.061732,0.1088547
"5794","39300","Providence-Warwick, RI-MA",2013,"CB",1406726,315665,8885,97248,700363,35.52786,7.201824,0.4978674
"5795","39300","Providence-Warwick, RI-MA",2013,"DR",56265798,5465567,386055,850302,1244105,14.15748,1.463133,0.02211121
"5796","39300","Providence-Warwick, RI-MA",2013,"DT",10851484,1261799,58608,139600,85234,21.52947,0.6105587,0.007854594
"5797","39300","Providence-Warwick, RI-MA",2013,"MB",201735046,11042438,797910,22602748,24245380,13.8392,1.072674,0.1201843
"5798","39300","Providence-Warwick, RI-MA",2014,"CB",1193994,0,0,82466,593997,NA,7.202932,0.4974874
"5799","39300","Providence-Warwick, RI-MA",2014,"DR",47924298,0,0,825202,1173202,NA,1.421715,0.02448032
"5800","39300","Providence-Warwick, RI-MA",2014,"DT",9323460,0,0,150397,104022,NA,0.6916494,0.01115702
"5801","39300","Providence-Warwick, RI-MA",2014,"MB",203355756,0,0,22996011,24629679,NA,1.071041,0.1211162
"5802","39300","Providence-Warwick, RI-MA",2015,"DR",32461266,4464626,350015,677045,1218110,12.75553,1.799157,0.03752503
"5803","39300","Providence-Warwick, RI-MA",2015,"MB",97414675,11538903,868335,21531139,21946261,13.28854,1.01928,0.225287
"5804","39380","Pueblo, CO",2006,"DR",583665,323951,23703,54834,65734,13.66709,1.198782,0.1126228
"5805","39380","Pueblo, CO",2006,"MB",2930657,522223,35092,978577,414720,14.88154,0.423799,0.1415109
"5806","39380","Pueblo, CO",2007,"DR",653214,246710,17932,51457,68782,13.75809,1.336689,0.1052978
"5807","39380","Pueblo, CO",2007,"MB",3067149,528598,36164,976042,455968,14.61669,0.4671602,0.1486618
"5808","39380","Pueblo, CO",2008,"DR",1609160,247656,17880,47599,82022,13.85101,1.723187,0.05097194
"5809","39380","Pueblo, CO",2008,"MB",3322429,552039,38927,1162352,540832,14.18139,0.4652911,0.1627821
"5810","39380","Pueblo, CO",2009,"DR",1608614,263758,19552,49446,84774,13.49008,1.714476,0.05270003
"5811","39380","Pueblo, CO",2009,"MB",3430469,559144,33362,904693,488206,16.75991,0.5396372,0.1423147
"5812","39380","Pueblo, CO",2010,"DR",1551886,294506,20879,51441,90048,14.10537,1.75051,0.05802488
"5813","39380","Pueblo, CO",2010,"MB",3478182,571282,40430,951123,436154,14.13015,0.4585674,0.1253971
"5814","39380","Pueblo, CO",2011,"DR",1738770,239920,17833,55160,91449,13.45371,1.657886,0.05259408
"5815","39380","Pueblo, CO",2011,"MB",3755853,546626,41071,1046455,478091,13.30929,0.4568672,0.1272923
"5816","39380","Pueblo, CO",2012,"DR",1716916,294713,21700,58284,95899,13.58124,1.645374,0.05585538
